call,horizon,n_calls,call_share,hit,hit_ex_covid
growth_yoy,0,114,1.0,0.6491228070175439,0.6354166666666666
growth_yoy,1,111,1.0,0.6486486486486487,0.6451612903225806
growth_yoy,2,108,1.0,0.6666666666666666,0.6666666666666666
growth_yoy,3,105,1.0,0.6857142857142857,0.6896551724137931
growth_yoy,4,102,1.0,0.5686274509803921,0.5476190476190477
growth_qoq,0,114,1.0,0.7368421052631579,0.8125
growth_qoq,1,111,1.0,0.5675675675675675,0.5483870967741935
growth_qoq,2,0,0.0,,
growth_qoq,3,0,0.0,,
growth_qoq,4,0,0.0,,
inflation_yoy,0,115,1.0,0.8173913043478261,0.8144329896907216
inflation_yoy,1,114,1.0,0.7192982456140351,0.6979166666666666
inflation_yoy,2,111,1.0,0.6846846846846847,0.6559139784946236
inflation_yoy,3,108,1.0,0.6481481481481481,0.6111111111111112
inflation_yoy,4,105,1.0,0.6571428571428571,0.6206896551724138
inflation_qoq,0,115,1.0,0.8695652173913043,0.8556701030927835
inflation_qoq,1,114,1.0,0.631578947368421,0.625
inflation_qoq,2,111,1.0,0.6036036036036037,0.6021505376344086
inflation_qoq,3,108,1.0,0.5277777777777778,0.5777777777777777
inflation_qoq,4,105,1.0,0.5142857142857142,0.5747126436781609
