asof,asof_quarter,horizon,target_quarter,call,grade,made_call,pred_delta,real_delta,pred_dir,real_dir,hit,conviction_pp,covid_target,consumer_stretched
2017-01-31,2017Q1,0,2017Q1,growth_yoy,call,True,-0.28426945720958496,-0.09410460885972416,decelerating,decelerating,1.0,0.28426945720958496,False,False
2017-01-31,2017Q1,0,2017Q1,growth_qoq,call,True,-0.2605984788479458,-0.06740890270671152,decelerating,decelerating,1.0,0.2605984788479458,False,False
2017-01-31,2017Q1,0,2017Q1,inflation_yoy,call,True,0.8110563598439982,0.7802979721370489,accelerating,accelerating,1.0,0.8110563598439982,False,False
2017-01-31,2017Q1,0,2017Q1,inflation_qoq,call,True,0.09928861921291166,0.06895808175360063,accelerating,accelerating,1.0,0.09928861921291166,False,False
2017-01-31,2017Q1,1,2017Q2,growth_yoy,call,True,0.0151333282043975,0.2429520995615997,accelerating,accelerating,1.0,0.0151333282043975,False,False
2017-01-31,2017Q1,1,2017Q2,growth_qoq,lean,True,0.5950597883852327,0.07298235226935734,accelerating,accelerating,1.0,0.5950597883852327,False,False
2017-01-31,2017Q1,1,2017Q2,inflation_yoy,call,True,-0.208733998839302,-0.6962729391697249,decelerating,decelerating,1.0,0.208733998839302,False,False
2017-01-31,2017Q1,1,2017Q2,inflation_qoq,call,True,-0.13937977225659814,-0.5883637843055789,decelerating,decelerating,1.0,0.13937977225659814,False,False
2017-01-31,2017Q1,2,2017Q3,growth_yoy,call,True,-0.5250976451014466,0.08040761841630051,decelerating,accelerating,0.0,0.5250976451014466,False,False
2017-01-31,2017Q1,2,2017Q3,growth_qoq,abstain,False,,0.22865156824358746,no call,accelerating,,,False,False
2017-01-31,2017Q1,2,2017Q3,inflation_yoy,call,True,0.17235019646294125,0.053553896562756,accelerating,accelerating,1.0,0.17235019646294125,False,False
2017-01-31,2017Q1,2,2017Q3,inflation_qoq,call,True,-0.001147278859225942,0.3626667512592441,decelerating,accelerating,0.0,0.001147278859225942,False,False
